species,taxonomic_class,common_name,max_longevity,mass_g,metabolic_rate_Wg,trophic_level,habitat,habitat_ecology,repo_type,parental_care,mobility,clutch_no,no_clutch_year,repo_size_g,fec_mat_ok,stage_skipped,fec_mat,refs,notes,,
Alces_alces,Mammalia,Eurasian Elk,27,351000,0.000882606,herbivore,terrestrial,terrestrial,viviparous,yes,terrestrial,1.29,1.235,13009.085,yes,no,births,Myhrvold et al 2015; Healy et al 2014,,,
Amazona_vittata,Aves,Puerto Rican amazon,,281,,herbivore,terrestrial,arboreal,oviparous,yes,volant,2.9,,17.9,yes,yes,fecundituy is m3*P0 where m3 is the number of female offspring produced by a breeding pair and P0 is the survival from fledging to census the following year,Myhrvold et al 2015,egg mass from Bucher 1983,,
Ammocrypta_pellucida,Actinopterygii,Eastern sand darter,,0.8,,carnivore,freshwater,benthic,oviparous,no,fw_benthic,,,0.0003,yes,no,stage-specific fecundity coefficient,fishbase Anage,egg mass calculated from egg diamter of 0.8mm (Driver and Adams 2013) and a conversion estimate of 0.973 for Kindsvater et al 2016,,
Ammodramus_savannarum,Aves,Grasshopper Sparrow,9.083333333,17.9,,insectivore,terrestrial,terrestrial,oviparous,yes,volant,4.445,2,2,yes,no,the mean number of females produced by a nesting female each year,Myhrvold et al 2015; Handbook of birds of the world,this matrix comprisese of survival rates from other sepcies etc,,
Amphimedon_compressa,Demospongiae,Red tree sponge,,182,,filter-feeding,marine,benthic,oviparous,no,sessile,,,0.2525,yes,yes,the number of recruits derived from sexual reproduction,Watson et al 2014 0,biovolume mass from xx size based on 40cm high and 4cm diameter tube and a 0.091g per ml (3.14*(40)*(16))*0.09,reproduction size is for a parenchymella larvae of lenth 5mm from (Sadros Identification Guide to Larval Marine Invertebrates of the Pacific Northwest) and assuming a tissue density of 1.0599 g/cm3 http://www.scrollseek.com/training/densitiesofdifferentbodymatter.html,
Anarhynchus_frontalis,Aves,Wrybill,16,58.125,,insectivore,freshwater,terrestrial,oviparous,yes,volant,2,2,11.9,yes,yes,the number of female fledglings produced per adult female surviving to breed each year,"Myhrvold et al 2015, Handbook of birds of the world",,,
Anas_fulvigula,Aves,Mottled Duck,29.1,1082,,omnivore,freshwater,semiaquatic,oviparous,yes,volant,10,1,32.8,,,not_in_analysis,Myhrvold et al 2015; Handbook of birds of the world,,,
Anas_laysanensis,Aves,Laysan duck,29.1,1082,,insectivore,freshwater,semiaquatic,oviparous,yes,volant,9.349699399,1,52.2,,,,Myhrvold et al 2015; Handbook of birds of the world,,,
Anas_platyrhynchos,Aves,Mallard,29.1,1121,,omnivore,freshwater,semiaquatic,oviparous,yes,volant,10.515,1,30.7,,,,Myhrvold et al 2015; Handbook of birds of the world,,,
Anser_anser,Aves,Greylag goose,31,3308.5,,herbivore,terrestrial,semiaquatic,oviparous,yes,volant,5,1,88.5,yes,yes,the number of fledged female young produced per adult female which survived the year,Myhrvold et al 2015; Handbook of birds of the world,,,
Anthropoides_paradiseus,Aves,Blue Crane,,5100,,omnivore,terrestrial,terrestrial,oviparous,yes,volant,2,1,185.15,yes,yes,"the number of young (y) per adult (a) observed in the road counts, which we obtained from the fitted logistic regression",Handbook of birds of the world,used Grus genus,,
Arctocephalus_australis,Mammalia,South American fur seal,30.6,67979.43,,carnivore,marine,pelagic,viviparous,yes,m_pelagic,1,1,4250,,,,Myhrvold et al 2015; Handbook of birds of the world,,,
Astroblepus_ubidiai,Actinopterygii,Andean catfish,,14.7,,omnivore,freshwater,benthic,oviparous,no,fw_benthic,,,0.004,yes,no,Female offspring per female assuming that the sex ratio obtained for reproductive adult organisms is the same for the offspring.,fishbase weigth calculated based on all LWR estimates for this body shape ,egg mass calculated from egg diamter of 2mm (Velez-Espino and Fox 2005) and a conversion estimate of 0.973 for Kindsvater et al 2016,,
Bonasa_umbellus,Aves,Ruffed grouse,11,532,,omnivore,terrestrial,terrestrial,oviparous,yes,volant,11,1,12,yes,yes,recruitment,Myhrvold et al 2015; Handbook of birds of the world,,,
Bostrychia_hagedash,Aves,Hadada Ibis,16,1245.25,,insectivore,terrestrial,terrestrial,oviparous,yes,volant,2.855,1,60.25,yes,yes,Ri is the number of fledglings produced from nests that are i years old. Si is the survival probability of birds in their ith year. ,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,,
Brachyteles_hypoxanthus,Mammalia,Northern Muriqui,14.475,10839.905,,herbivore,terrestrial,arboreal,viviparous,yes,arboreal,1.01,0.495,,yes,yes,survival by fecundity,Myhrvold et al 2015; Nowak 1999,cant find infant size,,
Buteo_solitarius,Aves,Hawaiian Hawk,17,505,,carnivore,terrestrial,terrestrial,oviparous,yes,volant,1,0.5,35,yes,no,We determined fecundity (f) as the number of female offspring produced per breeding-age female per year (female young/adult female). Not sure if hatching or fledglings but very close to egg by female ratio in population.,Myhrvold et al 2015; Handbook of birds of the world,,,
Callospermophilus_lateralis,Mammalia,Golden-mantled ground squirrel,10.4,227.3,0.002515111,omnivore,terrestrial,semifossorial,viviparous,yes,semifossorial,5.12,0.97,6.26,yes,yes,"The fertility rates for yearlings (i.e., age class 1) and adults (Fj(t) and Fa(t), respectively) were calculated using post-breeding census methods",Myhrvold et al 2015; Healy et al 2014,Spermophilus,,
Calidris_temminckii,Aves,Temmincks Stint,12.91666667,25.7,,insectivore,terrestrial,terrestrial,oviparous,yes,volant,4,2,4.95,yes,yes,Fecundity was expressed by number of chicks hatched per laid clutch,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,,
Calyptorhynchus_lathami,Aves,Glossy Black Cockatoo,,431.975,,herbivore,terrestrial,arboreal,oviparous,yes,volant,1,,25.5,yes,yes,Fecundity was calculated as the number of _edglings of each sex produced per female of breeding age from 1996 to 2008,Myhrvold et al 2015; Handbook of birds of the world,,,
Canis_lupus,Mammalia,Wolf,29.5,29190.755,0.001366582,carnivore,terrestrial,terrestrial,viviparous,yes,terrestrial,4.98,0.82,434.3,yes,yes,"F, was equal to 1.07, and was calculated as the product of sex ratio, pup survival, the number of pups produced per female and the percentage of females bearing young ",Myhrvold et al 2015; Healy et al 2014,,,
Cebus_capucinus,Mammalia,White-headed Capuchin,55,2655,,omnivore,terrestrial,arboreal,viviparous,yes,arboreal,1,0.5,233.625,yes,yes,FxS,Myhrvold et al 2015; Healy et al 2014,,,
Centrocercus_minimus,Aves,Gunnison Grouse,,1650,,omnivore,terrestrial,terrestrial,oviparous,yes,volant,,,42,yes,yes,"The female reproductive parameter F includes as follows: the nest initiation rate, the probability the female will have a successful nest (including renests), average clutch size, and juvenile recruitment (including daily chick survival to 30 days of age and juvenile monthly survival",Myhrvold et al 2015,egg mass average from Apa and Wiechman 2015,,
Cercopithecus_mitis,Mammalia,Blue Monkey,37.8,6116.5,0.002228774,omnivore,terrestrial,arboreal,viviparous,yes,arboreal,1,0.5,391.65,,,FxS,Myhrvold et al 2015; Healy et al 2014,,,
Cervus_elaphus,Mammalia,Red Deer,31.5,160166.665,0.001561782,herbivore,terrestrial,terrestrial,viviparous,yes,terrestrial,1.035,0.905,9258.795,yes,no,"Fecundity was the product of the number of female calves born (sex ratio), intrauterine survival rate, and pregnancy rate",Myhrvold et al 2015; Healy et al 2014,,,
Chelodina_expansa,Reptilia,Giant Snake-necked Turtle,,4744,,carnivore,freshwater,semiaquatic,oviparous,no,fw_benthic,28,,18.34,yes,no,eggs I think,Cann 1998 Australian Freshwater turtles; Bower and Hodges 2014 A Compilation Project of the IUCN SSC Tortoise and Freshwater Turtle Specialist Group; Myhrvold et al 2015,the_wiegth_size_is_for_egg_mass. Probably only have one but may have a second clutch in spring,,
Chelydra_serpentina,Reptilia,Common Snapping Turtle,47,5170,,carnivore,freshwater,semiaquatic,oviparous,no,fw_benthic,26.45,1,12.175,yes,no,Annual  fecundity  (mx) was defined  as the number  of  female  eggs  produced  annually (average clutch size/2  [to adjust  for production  of  males  by  making  an  assumption  of an  equal  primary  sex  ratio]  and  then  multiplied  by  clutch  frequency).,Myhrvold et al 2015,,,
Chen_caerulescens,Aves,Snow Goose,27.5,2630.75,,herbivore,terrestrial,terrestrial,viviparous,yes,volant,,,,,,not_in_analysis,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,,
Chrysemys_picta,Reptilia,Painted Turtle,61,371.8,,omnivore,freshwater,benthic,oviparous,no,fw_benthic,6,2,5.295,no,no,"eggs however matrix in COMADRE seems to have 6.6 eggs per female, much higher that the average of 4.1 given and also does not account for sex ratio",Ernst and Lovich Turtles of the United States and Canada; Myhrvold et al 2015,,,
Ciconia_ciconia,Aves,White stork,48,3350,,carnivore_scavanger,terrestrial,terrestrial,oviparous,yes,volant,4,1,72.5,,,not_in_analysis,Myhrvold et al 2015; Handbook of birds of the world,,,
Clemmys_guttata,Reptilia,Spotted Turtle,30,165.4,,omnivore,freshwater,benthic,oviparous,no,fw_benthic,4.29,1.2,6.6,yes,no,"Annual fertility was calculated by multiplying average clutch size by average clutch frequency. We assumed that half of all eggs become female, and since only females were used in the model, fertility was halved so that fecundity rep-resents the number of females recruited into the population each year. Fertility was then multiplied by annual adult female survivorship, as adults must survive in order to reproduce, to give an estimate of annual fecundity.",Ernst and Lovich Turtles of the United States and Canada; Myhrvold et al 2015,,,
Coragyps_atratus,Aves,Black Vulture,25.5,2080.5,,scavanger,terrestrial,terrestrial,viviparous,yes,volant,2,1,70,yes,yes,"In both models, fertility is related to the age-specific proportion  of  females  breeding  (PBs), mean number of female young fledged per female (assuming a 1:1 sex ratio;Fls), and survival of young from fledging to just before age 1 year",Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,,
Crocodylus_johnsoni,Reptilia,"Freshwater Crocodile, Johnstone River Crocodile",20,19500,,carnivore,freshwater,benthic,oviparous,yes,semiaquatic,12.70014347,1,69.7,yes,no,"from Comadre its hatchlings, but I cant access thesis",Myhrvold et al 2015,,,
Cryptophis_nigrescens,Reptilia,"Black-banded Trinket Snake, Red Bamboo Snake",11.6,1465.5,,carnivore,terrestrial,terrestrial,viviparous,no,terrestrial,4.3,,2.3,yes,yes,"recruitment  rate  per  individual,  which  incorporates the birth rate, survival to census, and potential  immigration",Myhrvold et al 2015; Healy et al in prep venom evolution,I cant find evidence of parental care but look again mass from Shine 1984,,
Cyprinus_carpio,Actinopterygii,Common carp,38,542.57,,omnivore,freshwater,river,oviparous,no,fw_river,,,,,,U mattrix needs to have fecundity elements removed,fishbase,,,
Drymarchon_couperi,Reptilia,Eastern indigo snake,25.9,7118,,carnivore,terrestrial,terrestrial,oviparous,no,terrestrial,8,1,63,yes,no,"Fecundity was estimated as the product of average clutch size divided by 2 (assuming a 1:1 hatchling sex ratio; Moulis 1976; Parker and Plummer 1987), nest survival, hatching rate, and probability that a female would breed in a given year (breeding probability). ",Myhrvold et al 2015,median of egg range from Hyslop et al 2012,,
Eidolon_helvum,Mammalia,African Straw-colored Fruit Bat,21.8325,280.43,,herbivore,terrestrial,arboreal,viviparous,yes,volant,1.04,1,49.14,yes,no,pregnacy rates,Myhrvold et al 2015; Healy et al 2014,,,
Elephas_maximus,Mammalia,Asian Elephant,80,3.22E+06,0.000636302,herbivore,terrestrial,terrestrial,viviparous,yes,terrestrial,1,0.23,100038.9,yes,no,pregnacy rates,Myhrvold et al 2015; Healy et al 2014,,,
Emydura_macquarii,Reptilia,Murray River turtle,20.9,1740,,carnivore,freshwater,benthic,oviparous,no,fw_benthic,13.2,2.5,10.075,yes,no,eggs,Cann 1998 Australian Freshwater turtles; Bower and Hodges 2014 A Compilation Project of the IUCN SSC Tortoise and Freshwater Turtle Specialist Group; Myhrvold et al 2015,need to look elswewhere,,check eggmass above here
Enhydra_lutris,Mammalia,Sea Otter,30,943.25,0.004016049,carnivore,marine,pelagic,viviparous,yes,m_pelagic,1,0.83,1909.17,no,yes,"age-specific  reproduction,  defined  as  the  age-specific probability of producing a 1-year-old female offspring",Myhrvold et al 2015; Healy et al 2014,,,
Esox_lucius,Actinopterygii,pike,30,1073.82,,carnivore,freshwater,pelagic,oviparous,no,fw_pelagic,,,0.006,yes,no,eggs,fishbase,egg size is mean from Bondarenko et al 2015,,
Falco_naumanni,Aves,Lesser kestrel,10.91666667,152.5,,carnivore,terrestrial,terrestrial,oviparous,yes,volant,4.2,1,16,,,discarded species,Myhrvold et al 2015; Handbook of birds of the world,,,
Falco_peregrinus,Aves,peregrine falcon,25,827.25,,carnivore,terrestrial,aerial,oviparous,yes,volant,3.5,1,47.1,yes,yes,f t is the number of fledglings per breeding pair in year t,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,,
Forpus_passerinus,Aves,Green-rumped parrotlet,11.6,24,,herbivore,terrestrial,terrestrial,oviparous,yes,volant,1,1,101,,,discarded species,Myhrvold et al 2015; Handbook of birds of the world,,,
Fulmarus_glacialis,Aves,Northern Fulmar,51,785,,carnivore-scavanger,marine,pelagic,oviparous,yes,volant,1,1,101,yes,yes,"the average number of fledged offspring per AOS, where the number of AOS was the number of nests estimated with the robust design spatial occupancy  model",Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,,
Gavia_immer,Aves,Great Northern Loon,24.08333333,4400,,omnivore,freshwater,semiaquatic,oviparous,yes,volant,2,1,167,,,only_has a dimension of 2,Myhrvold et al 2015; Handbook of birds of the world,,,
Gavia_immer,Aves,Great Northern Loon,24.08333333,4400,,omnivore,freshwater,semiaquatic,oviparous,yes,volant,2,1,167,,,only_has a dimension of 2,Myhrvold et al 2015; Handbook of birds of the world,,,
Genypterus_blacodes,Actinopterygii,Pink cusk eel,30,5482,,carnivore,marine,bathydemersal,oviparous,no,m_benthic,"1,200,000",,0.005,no,yes,3-year-old recruits,fishbase Anage,egg mass calculated from egg diamter of 2.1mm (Graham 1940) and a conversion estimate of 0.973 for Kindsvater et al 2016,,
Gorilla_beringei,Mammalia,Eastern Gorilla,60.1,139842,,herbivore,terrestrial,terrestrial,viviparous,yes,terrestrial,1,0.3,2077.5,,,,,,,
Gyps_coprotheres,Aves,Cape Vulture,41.4,7862,,scavanger,terrestrial,terrestrial,oviparous,yes,volant,1,1,248,yes,yes,"fecundity, measured as large nestlings per adult pair p.a. is likely to be, at most 0.64, i.e. 0.32 females per female p.a. ",Myhrvold et al 2015; Handbook of birds of the world,?,,
Haliaeetus_albicilla,Aves,White-tailed Eagle,42,4793,,carnivore-scavanger,terrestrial,pelagic,oviparous,yes,volant,2,1,132.5,yes,yes,we used the mean reproduction rate of 0.4 chicks per breeding attempt reported in Struwe-Juhl (2003),Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,,
Haliotis_laevigata,Gastropoda,Smooth Australian abalone,,45.7,,herbivore,marine,benthic,oviparous,no,sessile,,,0.000006,,,gets dropped dur to unrelistic net reporductive rate,Shepherd 1973; Kube et al 2007,mass includes shell. Meat weigth available egg mass from 222um diamter (GRAHAM et al 2006) and a conversion of 0.973 for Kindsvater et al 2016 see Anderson 1978 for metabolism,,
Haliotis_rufescens,Gastropoda,Red abalone,,579.3206336,,herbivore,marine,benthic,oviparous,no,sessile,,,0.001,yes,no,Fecundity was defined as the number of mature eggs present in the ovary,Rogers-Bennett et al 2007,egg size from dired wiegh multiplied by five from Buchal et al 1998,,
Himantopus_novaezelandiae,Aves,Black Stilt,12.16666667,161,,carnivore,freshwater,semiaquatic,oviparous,yes,volant,4,1,21.8,yes,yes,number of fledglings produced per adult female,Myhrvold et al 2015; Handbook of birds of the world,?,,
Hippocamelus_bisulcus,Mammalia,Guemal,10.73333333,69620.405,,herbivore,terrestrial,terrestrial,viviparous,yes,terrestrial,1,1,3575.62,yes,yes,fertility by some survival0 term,Myhrvold et al 2015; Healy et al 2014,,,
